"Title","Author","Pub","Demo","Vols","Series","Sold","SaleVol","Run","Digi","Tele","No. Votes","No. Seen","Bayes. Estimate","Serielized"
"Tokyo Ghoul (manga)","Sui Ishida",3,1,30,7,47,1.56,0,1,1,"110","252","8.19554328918457","2011-2018"
"Tokyo Revengers (manga)","Ken Wakui",1,0,28,5,65,2.32,1,1,1,"5","17","8.243389129638672","2017-present"
"Touch (manga)","Mitsuru Adachi",2,0,26,5,100,3.85,0,0,0,"108","179","7.924264907836914","1981-1986"
"Urusei Yatsura (manga)","Rumiko Takahashi",2,0,34,9,35,1.02,0,0,0,"128","311","7.749466896057129","1978-1987"
"Ushijima the Loan Shark (manga)","Shohei Manabe",2,1,46,15,21,0.45,0,0,0,"4","10","7.776350021362305","2004-2019"
"Ushio & Tora (manga)","Kazuhiro Fujita",2,0,33,6,30,0.9,NA,0,0,"19","49","7.894135475158691","1990-1996"
"Vagabond (manga)","Takehiko Inoue",1,1,37,17,82,2.21,0,0,0,"410","739","8.859882354736328","1998-2015 "
"Worst (manga)","Hiroshi Takahashi",0,0,33,11,35,1.06,0,0,0,"22","63","7.531545639038086","2002-2013"
"Yowamushi Pedal (manga)","Wataru Watanabe",0,0,80,14,28,0.35,1,0,0,"8","45","8.115933418273926","2008-present"
"Yu-Gi-Oh! (manga)","Kazuki Takahashi",3,0,38,8,40,1.05,0,0,1,"391","1074","6.356942176818848","1996-2004"
"Yukan Club (manga)","Yukari Ichijo",3,2,19,20,25,1.31,0,0,0,"3","17","-1","1982-2002"
"YuYu Hakusho (manga)","Yoshihiro Togashi",3,0,19,4,50,2.63,0,0,0,"441","1161","7.677495002746582","1990-1994"
